0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,gender
-300.69193,137.98799,-31.230816,45.19738,-1.0054232,-5.352562,-19.777529,-10.206013,-6.1820617,-15.945613,-3.0076818,-1.5154827,-2.6629686,-6.852042,1.6451066,-0.34986344,-6.2981963,10.584643,-0.11391134,2.0805922,1
-404.2127,101.94377,24.210037,21.74248,4.076881,4.343677,-11.6961,18.741854,-24.083158,23.549772,-9.609816,10.764076,-15.355927,6.4787917,0.67974,1.8249068,-5.922811,-1.9568273,1.4465302,-4.0432825,1
-383.41193,91.4682,35.589146,12.470807,12.823554,12.800959,-15.969566,15.793695,-14.911281,19.51085,-19.445612,12.435975,-9.5851755,4.503686,-5.1468663,0.75163174,-1.7826235,-0.7854192,-0.7143614,-0.79629236,1
-305.67627,60.23645,-40.014683,38.590435,-41.645367,-13.026795,-17.702442,-4.8817554,-7.2309055,-13.302854,-10.023034,-15.303477,-3.0612843,-5.2303843,-8.536318,-5.8255353,-1.604916,-1.2222729,4.3685,5.428849,1
-315.98395,41.92018,-26.697159,33.504967,-32.39383,-6.5610123,-22.994312,-11.673834,-17.72534,-9.268139,-5.722559,-12.579305,-2.8689399,-5.8484526,0.6072409,-4.2803736,1.3827133,5.1695743,13.923527,6.746522,1
-365.8847,42.028053,-20.459608,18.691664,-21.05953,-1.9872346,-10.626993,-3.9932323,-8.45266,-7.669747,-7.062153,-9.909536,-4.988094,-2.7029314,-0.49087834,-6.409083,1.3341893,0.8652282,7.396941,5.671701,1
-407.0042,88.2032,22.844463,-0.116255105,-16.719906,20.92881,-14.328369,2.6642034,-1.9579228,-13.111842,-9.411617,-8.336812,-0.42723855,-3.0340662,-2.8414423,-4.701905,1.166438,-5.134155,-0.5870043,-2.7366776,1
-345.6782,105.89609,-21.582254,22.398026,-0.5825421,-17.434942,-1.3182969,-9.159664,-9.386006,-9.980981,-7.5114403,-3.1718328,-11.501975,-5.6986504,1.8296806,-3.4542594,-8.02392,-13.648363,-5.3811736,-0.41374564,0
-333.6371,133.28378,-10.66271,29.18301,3.5961547,-9.307295,-9.684815,-0.4833397,2.0531964,-1.217588,1.8028302,-2.3357723,-1.7624512,-0.66094524,4.2993217,2.2797134,-0.12894815,7.091545,4.9600844,2.3249822,1
-356.52844,136.26283,-18.53729,29.595984,-8.923665,-3.227637,-14.801135,-1.7919766,-5.4755044,-5.7601633,5.1588235,-5.036269,-7.5942082,-0.34245414,-2.822539,3.4033513,-3.5143185,6.699824,2.277957,-1.4255677,1
-354.77454,127.04156,-22.348019,39.779594,3.8042276,-2.2364004,-28.406853,-0.53076357,-8.09554,-9.567829,2.095193,-10.439592,-6.7677045,-1.5227839,-0.053098127,1.4330002,-2.2153563,-0.5499679,3.3402598,-0.47204262,1
-316.50385,129.41272,-22.92544,44.815933,4.258242,2.4189084,-21.438372,-7.5033603,-12.838083,-7.6433625,-3.7218263,-5.129135,-7.4852357,-11.23827,-0.29330194,-1.1301681,1.2271628,3.030952,-0.29586345,2.172813,1
-346.94565,114.91473,-26.316936,36.600323,11.209672,-2.6553304,-7.8481565,-1.0054836,-10.505279,-5.075037,-1.5196409,-1.0822492,-2.3565736,0.035641134,3.1813166,3.6210117,0.49322435,3.518751,3.5211742,-1.3669778,1
-418.51428,140.63672,-8.436152,17.256956,17.21391,-9.148133,-0.58183897,-10.929792,-16.145424,-6.6509233,-10.435467,-10.738776,-8.54371,-9.235495,-2.2357283,-2.6776104,-13.166223,-8.313592,2.3125596,-4.5992885,0
-489.34686,92.34925,-8.604138,32.799824,12.633211,-19.947897,-6.527827,-7.718697,-5.378664,-3.9817886,-9.032118,-4.2532434,-2.4122577,-2.4340148,-2.8478875,-4.1661468,-2.643009,-3.2094352,-4.7558618,-7.234066,0
-363.07773,139.02223,-23.548183,39.277607,-1.6832241,-14.17992,-15.448234,5.5294514,-12.189007,-12.99304,-0.29355624,-2.3361046,-1.8274772,-3.9995625,-5.465734,-1.2095119,-6.5845313,0.8805953,-1.2683668,0.2713851,1
-340.6593,121.99756,-19.977438,37.512505,-5.883958,-6.0914536,-18.759253,7.2947474,-17.509493,-13.85042,1.3956574,-8.540966,2.7217546,-0.20995623,0.38232166,0.682317,-7.9761972,0.45651695,2.7252712,-0.31327707,1
-333.78052,128.39648,-24.567848,29.676046,2.627217,-9.452642,-23.659645,3.5203693,-13.261944,-15.71423,0.97144574,-6.8870363,4.6014867,0.8775288,1.2921104,0.08928808,-5.2468314,-0.24427663,-0.554849,0.8960689,1
-374.7899,132.05089,-15.764007,33.95256,3.6204534,-7.382323,-19.483078,6.802825,-12.943318,-13.38287,-0.8631913,-4.7866516,-1.2204978,-0.11830478,-1.0429484,-0.59054667,-7.8361635,-1.1359718,3.074973,0.83862305,1
-345.38766,125.6878,-23.712769,35.62127,1.0409056,-7.1119647,-22.350977,-1.4611682,-16.427916,-12.053511,-1.0929995,-8.791254,0.6830998,-0.60044616,4.1031575,-2.131622,-8.029901,-0.5221257,-0.8222221,-0.712447,1
-313.87555,138.99574,-38.992695,35.10997,2.53974,-5.0730796,-9.938737,-3.180026,-23.439682,-10.380177,-2.549513,-6.2320714,-4.421658,-11.971963,1.8685862,-0.87568676,-5.7129245,4.291791,-2.209959,3.4342508,1
-280.15414,122.60571,-31.38628,41.00809,11.052893,-20.573822,-24.778934,-9.958692,-1.8974254,-11.632088,-5.3654456,-4.1780677,-7.4643755,1.0243603,0.4162969,-1.6749808,-5.510874,-3.203573,-0.38237065,-0.95774126,1
-296.58844,123.883224,-25.854633,43.665916,5.2886615,-13.039367,-22.201069,-11.5374,-4.6323314,-14.943005,-5.5799546,-2.2266867,-11.72663,2.8813992,-0.533435,-3.9310088,-2.6081796,-2.728505,0.66729987,-1.4250998,1
-286.3952,144.03772,-30.089224,29.138128,6.667131,-18.062542,-25.298334,-8.934527,-6.0293937,-13.335186,-0.53297126,-3.4096613,-5.5045905,5.1368995,-1.837761,-0.4312049,-2.8792317,-5.6214137,0.31443137,-1.4336987,1
-287.33026,132.37292,-27.273748,48.185352,-3.1785104,-16.230568,-21.051231,2.1427386,-11.586062,-13.978525,6.8829455,-2.4840062,-2.052312,1.5539738,-7.1091876,-3.3021603,-4.1568165,-1.8971583,2.956799,-4.307903,1
-491.49945,115.02982,-12.567627,20.204565,9.572794,-11.048852,1.4087622,-18.887365,-15.91664,4.1165953,-4.988092,-4.1111455,-1.9751182,-9.343291,-6.61375,-13.623245,-16.239838,-0.5715002,-3.9547598,-12.6965,0
-150.65529,108.54884,-16.55524,33.169655,-1.2461545,9.463918,-12.650611,-1.4210739,-9.145662,8.748115,-7.556785,3.1230345,-2.3631587,-4.794185,-8.656458,3.5380375,-7.457933,-1.9928337,-5.798894,-1.7677984,0
-257.1017,146.01643,-40.271347,24.471832,-6.494681,-9.995989,-6.6061997,-12.282342,-17.649406,-4.839708,0.85483396,-1.2600397,0.20455633,-11.522878,1.3468916,-7.6271925,-10.139617,1.6975428,-2.9883971,1.9064637,1
-245.13966,127.98045,-46.31793,36.037937,-4.9856963,-7.9248967,-4.8810363,-12.667866,-17.721098,-3.5266285,-1.3077455,-2.3741252,0.8307136,-13.693733,3.5996304,-6.6212645,-9.859803,3.67363,-2.7458992,5.7283063,1
-163.72037,124.5487,-34.053665,28.026632,3.593994,-3.0692475,-15.19417,1.9524114,-10.5465,-0.51050997,-8.66132,-1.6504135,-1.9061395,1.6516117,-4.927034,1.1171801,-3.9469995,-0.29121327,-3.2154522,-0.7139791,1
-315.20602,129.56183,-18.160097,19.701677,9.730124,-15.9816475,-19.84471,-0.71094316,-17.840155,-5.033744,-2.9327207,1.8219796,-5.528397,-11.804345,-3.6544538,0.80439895,-11.38438,-6.075048,-9.67562,-7.5556917,1
